method_name,sample_id,row_index,regime_id,split,option_type,S_over_K,tau_fraction,target_delta,predicted_delta,absolute_error,delta_allowed_mask,strict_interior,boundary_near,payoff_kink_near,maturity_row,downstream_use_status
direct_value_implied_delta,0,7471,put_T025_s020_r001_q003,train,put,1.4666666666666666,0.43333333333333335,-1.2553696963851362e-07,0.062394368815742084,0.06239449435271172,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,1,21335,put_T025_s020_r005_q000,train,put,0.6333333333333333,0.1,-0.9999999999999998,-1.0506728579496465,0.05067285794964671,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,2,58228,put_T025_s020_r010_q010,train,put,0.6,0.19166666666666665,-0.9999999999999998,-1.1699644761408738,0.16996447614087407,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,3,72310,put_T025_s040_r001_q003,train,put,1.3,0.9,-0.0725966945502565,-0.16494723010092466,0.09235053555066816,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,4,78312,put_T025_s040_r001_q010,train,put,0.7,0.05,-0.998750764647183,-1.0259022024663786,0.0271514378191956,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,5,93268,put_T025_s040_r005_q003,train,put,0.43333333333333335,0.9333333333333333,-0.9999999999999998,-1.1208193084712168,0.12081930847121702,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,6,95173,put_T025_s040_r005_q006,train,put,0.8666666666666667,0.2916666666666667,-0.8951068161539308,-0.8920750598380164,0.003031756315914458,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,7,96538,put_T025_s040_r005_q006,train,put,0.5,0.5583333333333333,-0.9999999999999998,-0.989645554587258,0.010354445412741775,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,8,99961,put_T025_s040_r005_q010,train,put,1.3666666666666667,0.20833333333333334,-0.00044087742989895134,-0.019418753899816437,0.018977876469917485,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,9,109473,put_T025_s040_r010_q003,train,put,1.6666666666666667,0.03333333333333333,-6.842343181043068e-17,0.13287884762547789,0.13287884762547794,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,10,113165,put_T025_s040_r010_q003,train,put,1.4666666666666666,0.75,-0.008977783195919322,-0.03140673195223492,0.0224289487563156,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,11,116449,put_T025_s040_r010_q006,train,put,0.5666666666666667,0.3833333333333333,-0.9999999999999998,-0.9344867242741479,0.06551327572585186,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,12,116701,put_T025_s040_r010_q006,train,put,1.8,0.425,-3.4242702444829655e-06,0.20965930305422661,0.2096627273244711,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,13,117723,put_T025_s040_r010_q006,train,put,1.4666666666666666,0.625,-0.0056760138069156885,0.03210014382631177,0.037776157633227454,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,14,147880,put_T025_s060_r005_q000,train,put,0.5,0.425,-0.9999999999999998,-1.0375378786822296,0.0375378786822298,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,15,154026,put_T025_s060_r005_q003,train,put,0.4,0.6083333333333333,-0.9999999999999998,-0.8745490047087143,0.12545099529128545,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,16,157065,put_T025_s060_r005_q006,train,put,1.3666666666666667,0.18333333333333332,-0.0066775162377100145,0.024864945686991234,0.03154246192470125,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,17,161667,put_T025_s060_r005_q010,stress_holdout,put,1.4,0.06666666666666667,-2.467635829993003e-05,0.07721727225264002,0.07724194861093996,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,18,168213,put_T025_s060_r010_q000,train,put,1.7333333333333334,0.325,-0.0004403142177972144,0.15108055567798645,0.15152086989578367,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,19,192728,put_T050_s020_r001_q003,train,put,0.4666666666666667,0.041666666666666664,-0.9993751951257612,-1.1146492462711732,0.115274051145412,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,20,205554,put_T050_s020_r001_q010,train,put,0.8666666666666667,0.5083333333333333,-0.9200009078930352,-0.7560217495978995,0.16397915829513576,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,21,220119,put_T050_s020_r005_q006,validation,put,0.4666666666666667,0.30833333333333335,-0.9999999999999998,-1.078375568496335,0.0783755684963352,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,22,229412,put_T050_s020_r010_q000,train,put,0.6333333333333333,0.09166666666666666,-0.9999999999999998,-1.1401739227929029,0.14017392279290308,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,23,238343,put_T050_s020_r010_q003,train,put,1.6333333333333333,0.8083333333333333,-2.3172305887967195e-05,0.08857902563766148,0.08860219794354945,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,24,238705,put_T050_s020_r010_q003,train,put,0.8,0.8833333333333333,-1.0000000000000016,-0.8007510161958518,0.1992489838041498,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,25,261065,put_T050_s040_r001_q006,train,put,0.8,0.175,-0.962112457079739,-0.9462980838989079,0.01581437318083112,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,26,267319,put_T050_s040_r001_q010,train,put,1.4333333333333333,0.375,-0.0192338522955489,-0.033771916793357684,0.014538064497808784,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,27,285048,put_T050_s040_r005_q006,validation,put,0.43333333333333335,0.7916666666666666,-0.9999999999999998,-1.1341615767318423,0.13416157673184248,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,28,287486,put_T050_s040_r005_q010,validation,put,1.4333333333333333,0.25,-0.005258437170254287,0.020233521027881295,0.025491958198135583,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,29,299115,put_T050_s040_r010_q003,train,put,0.6333333333333333,0.49166666666666664,-0.9999999999999998,-1.0808359402653813,0.08083594026538155,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,30,306405,put_T050_s040_r010_q006,train,put,1.4,0.8916666666666666,-0.07129837532777793,-0.030329179817898306,0.040969195509879625,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,31,317041,put_T050_s060_r001_q000,train,put,0.4666666666666667,0.9416666666666667,-0.9600343651437349,-0.9201252629927275,0.0399091021510074,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,32,318728,put_T050_s060_r001_q003,train,put,0.8,0.2583333333333333,-0.822966049143997,-0.7799918394675364,0.042974209676460595,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,33,319176,put_T050_s060_r001_q003,train,put,1.4,0.3416666666666667,-0.0708627888359729,-0.04391052161387593,0.026952267222096968,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,34,319418,put_T050_s060_r001_q003,train,put,0.8666666666666667,0.39166666666666666,-0.6595800120575002,-0.6769997587140909,0.01741974665659074,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,35,323412,put_T050_s060_r001_q006,train,put,0.7,0.15833333333333333,-0.9742632862150391,-0.838232752194688,0.13603053402035115,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,36,328346,put_T050_s060_r001_q010,stress_holdout,put,1.7666666666666666,0.1,-1.6005071799824668e-05,0.28469999197272994,0.28471599704452977,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,37,330104,put_T050_s060_r001_q010,stress_holdout,put,1.6,0.44166666666666665,-0.0403002995472018,0.08590401581197982,0.1262043153591816,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,38,343996,put_T050_s060_r005_q006,validation,put,1.7,0.10833333333333334,-7.397882883892367e-05,0.11263303772820932,0.11270701655704825,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,39,351590,put_T050_s060_r005_q010,stress_holdout,put,1.1333333333333333,0.575,-0.2981345136045211,-0.31039332728285934,0.012258813678338254,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,40,352517,put_T050_s060_r005_q010,stress_holdout,put,0.5,0.7583333333333333,-0.9365254465229289,-0.8348225155870229,0.10170293093590599,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,41,368521,put_T050_s060_r010_q006,train,put,0.7666666666666666,0.8333333333333334,-0.6887514062448958,-0.6591819099919816,0.029569496252914274,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,42,372178,put_T050_s060_r010_q010,stress_holdout,put,0.8333333333333334,0.5333333333333333,-0.6606870650337459,-0.7564185789167812,0.09573151388303536,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,43,385853,put_T100_s020_r001_q006,train,put,0.8666666666666667,0.15833333333333333,-0.956588338984286,-0.6895167320307604,0.2670716069535256,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,44,401231,put_T100_s020_r005_q003,train,put,1.7666666666666666,0.10833333333333334,-3.813790928839542e-13,0.16357254954863243,0.16357254954901382,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,45,414100,put_T100_s020_r005_q010,train,put,0.7333333333333333,0.5916666666666667,-0.9263379682004723,-0.942166398983833,0.015828430783360714,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,46,423249,put_T100_s020_r010_q003,train,put,0.4,0.35,-0.9999999999999998,-1.1111048992350534,0.11110489923505362,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,47,427677,put_T100_s020_r010_q006,train,put,1.8,0.19166666666666665,-2.2031636665013995e-10,0.40000090952482226,0.40000090974513863,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,48,436842,put_T100_s020_r010_q010,train,put,0.5666666666666667,0.9666666666666667,-0.9999999999999998,-0.9714854248131277,0.02851457518687206,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,49,441093,put_T100_s040_r001_q000,train,put,1.8,0.775,-0.0310083422664382,0.1006676751151054,0.1316760173815436,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,50,444072,put_T100_s040_r001_q003,train,put,0.7666666666666666,0.35,-0.8405137239371208,-0.9093464496796357,0.06883272574251498,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,51,446428,put_T100_s040_r001_q003,train,put,0.4666666666666667,0.8083333333333333,-0.9539595230198539,-0.9895433752132364,0.03558385219338256,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,52,452574,put_T100_s040_r001_q006,train,put,1.8,0.9833333333333333,-0.05640382214733441,0.05367728504318113,0.11008110719051553,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,53,461920,put_T100_s040_r005_q000,train,put,0.8666666666666667,0.7833333333333333,-0.5821028865171081,-0.4122520181508002,0.16985086836630786,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,54,464339,put_T100_s040_r005_q003,train,put,1.2333333333333334,0.24166666666666667,-0.11679458674563077,-0.22691544894180155,0.11012086219617077,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,55,469814,put_T100_s040_r005_q006,train,put,1.7,0.2916666666666667,-0.0053577582387783155,0.0696059419521555,0.07496370019093382,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,56,487364,put_T100_s040_r010_q003,train,put,0.4666666666666667,0.675,-0.9999999999999998,-0.8725479919676314,0.12745200803236834,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,57,497125,put_T100_s040_r010_q010,train,put,0.4666666666666667,0.55,-0.9999999999999998,-0.9656589465375507,0.03434105346244909,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,58,499900,put_T100_s060_r001_q000,train,put,1.2333333333333334,0.075,-0.08661049745571574,-0.17439490549820694,0.0877844080424912,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,59,509205,put_T100_s060_r001_q003,train,put,1.8,0.8666666666666667,-0.09426387143300113,0.07664369590546448,0.17090756733846563,True,True,False,False,False,stage5_delta_diagnostic_only
direct_value_implied_delta,60,514581,put_T100_s060_r001_q006,train,put,0.4,0.9083333333333333,-0.8703574609562459,-0.9093432102973129,0.03898574934106702,True,True,False,False,False,stage5_delta_diagnostic_only
