step,loss,coefficient_loss,surface_loss,boundary_loss,derivative_loss,exercise_loss,learning_rate
1,0.978721252797882,0.978721252797882,0.0,0.0,0.0,0.0,0.0009999998473295647
100,0.2975207463482928,0.2975207463482928,0.0,0.0,0.0,0.0,0.0009984740801978966
200,0.8690733920772228,0.8690733920772228,0.0,0.0,0.0,0.0,0.0009939057285945916
300,0.16105033745798392,0.16105033745798392,0.0,0.0,0.0,0.0,0.0009863231105968475
400,0.16374247655220991,0.16374247655220991,0.0,0.0,0.0,0.0,0.0009757729755660932
500,0.05630336283507137,0.05630336283507137,0.0,0.0,0.0,0.0,0.0009623203685930793
600,0.03810303890858099,0.03810303890858099,0.0,0.0,0.0,0.0,0.0009460482294732351
700,0.026993884301748837,0.026993884301748837,0.0,0.0,0.0,0.0,0.0009270568813552691
800,0.00998897980622168,0.00998897980622168,0.0,0.0,0.0,0.0,0.0009054634122155924
900,0.003787759424580584,0.003787759424580584,0.0,0.0,0.0,0.0,0.0008814009529720089
1000,0.012983578512014766,0.012983578512014766,0.0,0.0,0.0,0.0,0.0008550178566873347
1100,0.00559518255977471,0.00559518255977471,0.0,0.0,0.0,0.0,0.0008264767839234347
1200,0.002133627168028133,0.002133627168028133,0.0,0.0,0.0,0.0,0.0007959536998847684
1300,0.0029246313390494344,0.0029246313390494344,0.0,0.0,0.0,0.0,0.0007636367895343892
1400,0.0022473091273544415,0.0022473091273544415,0.0,0.0,0.0,0.0,0.0007297252973710702
1500,0.001140992941096135,0.001140992941096135,0.0,0.0,0.0,0.0,0.0006944282990207144
1600,0.0009443340764054709,0.0009443340764054709,0.0,0.0,0.0,0.0,0.0006579634122155945
1700,0.0014737751572458952,0.0014737751572458952,0.0,0.0,0.0,0.0,0.0006205554551086687
1800,0.0007303434205230793,0.0007303434205230793,0.0,0.0,0.0,0.0,0.00058243506019491
1900,0.0007612640416438199,0.0007612640416438199,0.0,0.0,0.0,0.0,0.0005438372523852798
2000,0.0008397561708222421,0.0008397561708222421,0.0,0.0,0.0,0.0,0.0005049999999999966
2100,0.0006071458249256367,0.0006071458249256367,0.0,0.0,0.0,0.0,0.00046616274761471303
2200,0.0005393776680402927,0.0005393776680402927,0.0,0.0,0.0,0.0,0.00042756493980508197
2300,0.00034481079411378295,0.00034481079411378295,0.0,0.0,0.0,0.0,0.00038944454489132354
2400,0.0005065903773247443,0.0005065903773247443,0.0,0.0,0.0,0.0,0.0003520365877843981
2500,0.00046941292792460044,0.00046941292792460044,0.0,0.0,0.0,0.0,0.00031557170097927805
2600,0.0004141505838114685,0.0004141505838114685,0.0,0.0,0.0,0.0,0.0002802747026289223
2700,0.0004812734943074519,0.0004812734943074519,0.0,0.0,0.0,0.0,0.00024636321046560397
2800,0.00029058191034586557,0.00029058191034586557,0.0,0.0,0.0,0.0,0.00021404630011522474
2900,0.00034531673123884066,0.00034531673123884066,0.0,0.0,0.0,0.0,0.00018352321607655815
3000,0.00032675034542132024,0.00032675034542132024,0.0,0.0,0.0,0.0,0.00015498214331265828
3100,0.00028201521467030653,0.00028201521467030653,0.0,0.0,0.0,0.0,0.00012859904702798436
3200,0.0002926798922803401,0.0002926798922803401,0.0,0.0,0.0,0.0,0.00010453658778440083
3300,0.0002732812419427939,0.0002732812419427939,0.0,0.0,0.0,0.0,8.294311864472417e-05
3400,0.00026263309876628537,0.00026263309876628537,0.0,0.0,0.0,0.0,6.395177052675793e-05
3500,0.0002789386119548149,0.0002789386119548149,0.0,0.0,0.0,0.0,4.767963140691308e-05
3600,0.00025300935216343394,0.00025300935216343394,0.0,0.0,0.0,0.0,3.422702443389906e-05
3700,0.00028881507057651424,0.00028881507057651424,0.0,0.0,0.0,0.0,2.3676889403150234e-05
3800,0.00021783305064038656,0.00021783305064038656,0.0,0.0,0.0,0.0,1.6094271405406923e-05
3900,0.00032542185704360536,0.00032542185704360536,0.0,0.0,0.0,0.0,1.152591980210167e-05
4000,0.00028001893702107026,0.00028001893702107026,0.0,0.0,0.0,0.0,1e-05
