step,loss,coefficient_loss,surface_loss,boundary_loss,derivative_loss,exercise_loss,learning_rate
1,2.5578841507352856,1.3456586704861033,0.40353175958357695,0.1975431841870517,0.16332536483570576,0.021884474338274285,0.0009999998473295647
100,0.919152127698891,0.8622087795744271,0.03438398729083116,0.004811480258497837,0.031049600306847207,0.0020847976895669237,0.0009984740801978966
200,0.4699104242978648,0.4470117735168637,0.0076627849207669815,0.003512522490886906,0.010786011035549907,0.0010717479313142543,0.0009939057285945916
300,0.6343123871110097,0.6216741351730732,0.005800331542895454,0.0015223129726039094,0.006454214912904961,0.0010324701333472165,0.0009863231105968475
400,0.5175858120878686,0.5108998347306161,0.005164488057765401,0.00026717011547236795,0.004213157525058569,0.00031493085091835,0.0009757729755660932
500,0.35449675617670057,0.3513867564631402,0.0010590880752504041,0.00046241000772158695,0.0018006539904087194,0.00021206208382772387,0.0009623203685930793
600,0.47281194187441045,0.4674905257105959,0.0027071464028886843,0.0005719208799310675,0.002975736566416976,0.00029012584559956527,0.0009460482294732351
700,0.3401334864902196,0.3370631709167932,0.0019033851050122073,0.0002339454981746918,0.0021992038952491477,0.00011228086190508828,0.0009270568813552691
800,0.1969670347815269,0.19464503225880386,0.0014888865866235365,0.00017280758936268068,0.0012760037890798422,0.00014285199740783188,0.0009054634122155924
900,0.10341105294617754,0.10128309071798855,0.0006001603279537908,0.00035926431376125865,0.0008128997684151993,9.454668348650127e-05,0.0008814009529720089
1000,0.13072028328220767,0.1296434416900114,0.0005373435271684491,0.00011829291814477864,0.0006229689145950209,4.029500989173713e-05,0.0008550178566873347
1100,0.05241370533184204,0.0489126490714743,0.0008685087534281025,0.0006383956044649369,0.0006435364285269801,0.0001461144622718895,0.0008264767839234347
1200,0.09928545308197233,0.09756952749607253,0.0008639552862409563,0.00018882711219414083,0.0008765247983685165,9.009371045401707e-05,0.0007959536998847684
1300,0.04698121358459564,0.045738180630441924,0.0004386081671799811,0.00017336191257595864,0.0009772220744714035,0.0001325492922276458,0.0007636367895343892
