all_gates_pass,boundary_found_count,boundary_roundtrip_max,boundary_roundtrip_pass,canonical_points,endpoint_max_error,endpoint_pass,failure_reason,max_row_pairing_relative_error,minimum_aligned_multiplier,multiplier_nonnegative_pass,multiplier_roundtrip_rmse,no_boundary_count,option_type,pairing_pass,regime_id,source_multiplier_correction_max,status,surface_rmse_pass,surface_roundtrip_rmse,trajectory_pairing_relative_error
False,120,0.0,True,1921,0.0,True,,0.00048378387098215847,0.0,True,2.4065156809216263e-09,0,put,False,put_T025_s020_r001_q000,0.0,COMPLETE,True,1.1436898462135715e-06,0.0002122551572037547
False,120,0.0,True,1921,0.0,True,,0.0018597039961222982,0.0,True,1.138552096521667e-10,0,put,False,put_T025_s020_r001_q003,0.0,COMPLETE,True,1.0786358654793939e-06,0.0015188376498857768
False,120,0.0,True,1921,0.0,True,,0.005983991179764601,0.0,True,2.1046777749078213e-10,0,put,False,put_T025_s020_r001_q006,0.0,COMPLETE,True,8.488982762172846e-07,0.0035209925538338804
False,120,0.0,True,1921,0.0,True,,0.012389635708872146,0.0,True,2.792358504450008e-10,0,put,False,put_T025_s020_r001_q010,0.0,COMPLETE,True,2.452976655699945e-06,0.007378068644377026
False,120,0.0,True,1921,0.0,True,,0.00026120669829023064,0.0,True,6.393374816725562e-09,0,put,False,put_T025_s020_r005_q000,0.0,COMPLETE,True,6.017394477337593e-07,0.0001327432344158925
False,120,0.0,True,1921,0.0,True,,0.00032135600509321726,0.0,True,4.938076935944108e-09,0,put,False,put_T025_s020_r005_q003,0.0,COMPLETE,True,8.696028633007142e-07,0.0001718900947256356
False,120,0.0,True,1921,0.0,True,,0.0002639878012029238,0.0,True,2.146985476574412e-09,0,put,False,put_T025_s020_r005_q006,0.0,COMPLETE,True,1.665224000591896e-06,0.00018722439712150706
False,120,0.0,True,1921,0.0,True,,0.0007805472613616924,0.0,True,1.994432696686254e-09,0,put,False,put_T025_s020_r005_q010,0.0,COMPLETE,True,3.1390432534289337e-06,0.0007105437110515512
True,120,0.0,True,1921,0.0,True,,0.0001609834019272341,0.0,True,1.1315624254369564e-08,0,put,True,put_T025_s020_r010_q000,0.0,COMPLETE,True,4.1777714476979756e-07,8.860586404553013e-05
True,120,0.0,True,1921,0.0,True,,0.0002491902917046593,0.0,True,9.204554608447083e-09,0,put,True,put_T025_s020_r010_q003,0.0,COMPLETE,True,5.520392604230056e-07,8.10462804210538e-05
